species,fxn,source,family,formula,min_depth,max_depth,min_latitude,max_latitude,min_year,max_year,anisotropy,knots,spatiotemporal1,spatiotemporal2,share_range,used
arrowtooth flounder,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-1280,34,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
aurora rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-183,-1280,31.9,49,2003,2050,TRUE,250,off,iid,FALSE,FALSE
big skate,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
blackgill rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear,-183,-850,35,49,2003,2050,TRUE,200,off,off,FALSE,FALSE
bocaccio,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
canary rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-275,31.9,49,2003,2050,FALSE,200,iid,off,FALSE,TRUE
canary rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",Triennial,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear,-55,-366,37,49,1980,2050,TRUE,200,iid,off,FALSE,FALSE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",AFSC.Slope,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear,-183,-1280,34.5,49,1997,2050,FALSE,100,off,off,TRUE,FALSE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",AFSC.Slope,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear,-183,-1280,34.5,49,1997,2050,FALSE,100,off,off,TRUE,FALSE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,31.9,46.25,2003,2050,TRUE,300,iid,off,TRUE,FALSE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,31.9,46.25,2003,2050,TRUE,300,iid,off,TRUE,FALSE
